ID,deposits,deposit_amount,withdrawals,withdrawal_amount,declines,biggest_deposit,deposit_amount_variance,withdrawal_amount_variance,nightdeposits,activeweeks,activemonths,propnight,intensity,netloss,logdeclines
customer103,82,1306.36,0,0,0,123.37,256.3781812,0,25,24,10,0.304878049,3.416666667,1306.36,0
customer1030,14,310.6,0,0,0,50,293.9597802,0,7,3,3,0.5,4.666666667,310.6,0
customer1031,2,30,0,0,0,20,50,0,0,2,1,0,1,30,0
customer1032,2,90,0,0,0,50,50,0,0,2,1,0,1,90,0
customer1033,17,9550,0,0,4,1000,35790.44118,0,3,8,3,0.176470588,2.125,9550,1.609437912
customer1034,14,640,0,0,0,65,76.37362637,0,6,4,2,0.428571429,3.5,640,0
customer1035,23,730,1,480,0,50,177.6561265,0,0,4,3,0,5.75,250,0
customer1036,3,500,0,0,0,200,3333.333333,0,1,2,1,0.333333333,1.5,500,0
customer1037,3,50,0,0,0,25,58.33333333,0,0,3,2,0,1,50,0
customer1038,10,260,0,0,0,50,76.66666667,0,1,5,5,0.1,2,260,0
customer1039,8,550,0,0,0,110,612.5,0,4,2,1,0.5,4,550,0
customer104,25,780,0,0,7,100,327.6666667,0,2,3,2,0.08,8.333333333,780,2.079441542
customer1040,32,1239.9,5,929.5,0,100,499.1196028,35311.55,5,11,6,0.15625,2.909090909,310.4,0
customer1041,2,100,0,0,0,50,0,0,0,2,1,0,1,100,0
customer1042,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1043,12,750,0,0,0,100,511.3636364,0,4,5,3,0.333333333,2.4,750,0
customer1044,8,540,0,0,0,200,3421.428571,0,4,6,4,0.5,1.333333333,540,0
customer1045,6,95,0,0,0,20,4.166666667,0,3,3,2,0.5,2,95,0
customer1046,5,1650,0,0,0,400,5750,0,0,2,2,0,2.5,1650,0
customer1047,2,75,0,0,0,50,312.5,0,2,2,2,1,1,75,0
customer1048,1,10,1,10,0,10,0,0,0,1,1,0,1,0,0
customer1049,11,215,0,0,4,50,2.272727273,0,1,2,2,0.090909091,5.5,215,1.609437912
customer105,220,4833.64,1,615,0,100,321.6037888,0,33,40,10,0.15,5.5,4218.64,0
customer1050,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer1051,4,105,2,300,0,40,106.25,5000,0,2,2,0,2,-195,0
customer1052,2,100,0,0,0,50,0,0,0,1,1,0,2,100,0
customer1053,10,1149,0,0,6,122,12.1,0,10,1,1,1,10,1149,1.945910149
customer1054,7,330,0,0,0,50,23.80952381,0,1,1,1,0.142857143,7,330,0
customer1055,2,100,0,0,0,50,0,0,0,1,1,0,2,100,0
customer1056,1,10,0,0,0,10,0,0,0,1,1,0,1,10,0
customer1057,1,15,1,15,0,15,0,0,0,1,1,0,1,0,0
customer1058,4,70,0,0,0,20,25,0,2,2,1,0.5,2,70,0
customer1059,14,595.5,12,1244,0,50,779.4793956,4612.424242,1,7,5,0.071428571,2,-648.5,0
customer106,13,1500,0,0,0,200,1410.25641,0,5,2,2,0.384615385,6.5,1500,0
customer1060,7,270,0,0,0,50,205.952381,0,4,3,2,0.571428571,2.333333333,270,0
customer1061,23,3420,0,0,0,300,5266.403162,0,13,9,6,0.565217391,2.555555556,3420,0
customer1062,3,75,0,0,0,30,25,0,0,1,1,0,3,75,0
customer1063,2,20,0,0,0,10,0,0,0,1,1,0,2,20,0
customer1064,1,20,0,0,0,20,0,0,1,1,1,1,1,20,0
customer1065,8,2750,0,0,0,500,33169.64286,0,3,2,2,0.375,4,2750,0
customer1066,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1067,2,100,0,0,0,50,0,0,1,2,2,0.5,1,100,0
customer1068,4,250,0,0,0,100,625,0,0,4,3,0,1,250,0
customer1069,8,1144,0,0,0,250,3963.428571,0,0,6,5,0,1.333333333,1144,0
customer107,542,84033.82,53,52420,77,500,5501.138436,309140.439,286,36,10,0.527675277,15.05555556,31613.82,4.356708827
customer1070,26,262.5,1,80,6,10,0.160384615,0,5,5,4,0.192307692,5.2,182.5,1.945910149
customer1071,18,280,0,0,0,20,26.14379085,0,1,5,2,0.055555556,3.6,280,0
customer1072,1,40,0,0,0,40,0,0,0,1,1,0,1,40,0
customer1073,1,25,0,0,0,25,0,0,1,1,1,1,1,25,0
customer1074,10,323.57,1,25,0,100,565.0878233,0,2,5,2,0.2,2,298.57,0
customer1075,7,335,0,0,0,50,32.14285714,0,0,1,1,0,7,335,0
customer1076,10,100,5,140,0,10,0,170,4,4,2,0.4,2.5,-40,0
customer1077,4,65,0,0,0,20,6.25,0,1,2,2,0.25,2,65,0
customer1078,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1079,8,231,0,0,0,50,324.9821429,0,6,6,3,0.75,1.333333333,231,0
customer108,296,50263.02,35,31659.47,16,500,34018.74464,1119426.934,19,29,10,0.064189189,10.20689655,18603.55,2.833213344
customer1080,3,400,0,0,0,200,5833.333333,0,2,2,2,0.666666667,1.5,400,0
customer1081,2,65,0,0,0,40,112.5,0,1,2,1,0.5,1,65,0
customer1082,14,480.94,3,390.29,0,25,2454.380268,6673.928033,3,3,3,0.214285714,4.666666667,90.65,0
customer1083,2,70,0,0,0,40,50,0,1,1,1,0.5,2,70,0
customer1084,4,266,0,0,0,100,515.6666667,0,3,2,1,0.75,2,266,0
customer1085,28,425,0,0,0,50,126.8187831,0,14,13,8,0.5,2.153846154,425,0
customer1086,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1087,9,1050,0,0,0,200,6700,0,0,1,1,0,9,1050,0
customer1088,1,500,1,11500,0,500,0,0,0,1,1,0,1,-11000,0
customer1089,9,265,0,0,0,85,490.2777778,0,2,3,2,0.222222222,3,265,0
customer109,127,11973.91,75,15450,0,525,3482.118334,22704.97297,19,35,12,0.149606299,3.628571429,-3476.09,0
customer1090,10,3381,0,0,2,1000,95615.21111,0,4,3,2,0.4,3.333333333,3381,1.098612289
customer1091,5,1300,1,380,0,500,49250,0,3,4,3,0.6,1.25,920,0
customer1092,4,1200,3,750,0,500,18333.33333,0,0,2,2,0,2,450,0
customer1093,23,414,0,0,0,40,55.36363636,0,12,10,7,0.52173913,2.3,414,0
customer1094,1,20,0,0,0,20,0,0,0,1,1,0,1,20,0
customer1095,1,40,0,0,0,40,0,0,1,1,1,1,1,40,0
customer1096,3,30,1,32,0,10,0,0,0,1,1,0,3,-2,0
customer1097,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1098,1,10,0,0,0,10,0,0,1,1,1,1,1,10,0
customer1099,10,335,0,0,0,50,166.9444444,0,0,2,2,0,5,335,0
customer11,11,410,0,0,0,50,76.81818182,0,5,11,6,0.454545455,1,410,0
customer110,4,170,0,0,0,50,225,0,0,2,1,0,2,170,0
customer1100,10,395,0,0,0,50,185.8333333,0,0,3,2,0,3.333333333,395,0
customer1101,11,8350,0,0,50,2000,228409.0909,0,2,5,3,0.181818182,2.2,8350,3.931825633
customer1102,27,1120,3,1100,0,20,159.2592593,10833.33333,7,2,2,0.259259259,13.5,20,0
customer1103,1,25,0,0,0,25,0,0,0,1,1,0,1,25,0
customer1104,2,45,0,0,0,25,12.5,0,0,1,1,0,2,45,0
customer1105,2,40,0,0,0,30,200,0,0,1,1,0,2,40,0
customer1106,6,350,0,0,0,100,416.6666667,0,2,5,2,0.333333333,1.2,350,0
customer1107,6,600,0,0,0,100,0,0,1,6,3,0.166666667,1,600,0
customer1108,7,800,0,0,0,200,1428.571429,0,2,5,3,0.285714286,1.4,800,0
customer1109,4,162,5,170.9,0,50,361,253.412,2,4,3,0.5,1,-8.9,0
customer111,160,10109,7,3432,0,392,1390.740527,26208.90476,44,15,9,0.275,10.66666667,6677,0
customer1110,10,787,0,0,0,110,1054.677778,0,4,2,1,0.4,5,787,0
customer1111,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer1112,2,45,2,230,0,25,12.5,450,1,2,2,0.5,1,-185,0
customer1113,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1114,12,3996,1,396,6,500,23707.45455,0,0,6,3,0,2,3600,1.945910149
customer1115,11,570,0,0,0,100,636.3636364,0,1,3,3,0.090909091,3.666666667,570,0
customer1116,4,85,0,0,0,30,106.25,0,3,2,2,0.75,2,85,0
customer1117,2,25.02,0,0,0,13,0.4802,0,2,1,1,1,2,25.02,0
customer1118,1,20,0,0,0,20,0,0,1,1,1,1,1,20,0
customer1119,6,600,0,0,0,100,0,0,0,3,2,0,2,600,0
customer112,417,5161.75,0,0,3,50,39.92941368,0,149,34,9,0.357314149,12.26470588,5161.75,1.386294361
customer1120,1,300,0,0,0,300,0,0,1,1,1,1,1,300,0
customer1121,1,30,0,0,0,30,0,0,0,1,1,0,1,30,0
customer1122,6,525,0,0,0,100,937.5,0,1,1,1,0.166666667,6,525,0
customer1123,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1124,6,200,0,0,0,100,1306.666667,0,0,2,2,0,3,200,0
customer1125,2,150,0,0,0,150,1250,0,0,1,1,0,2,150,0
customer1126,2,20,0,0,0,10,0,0,0,2,2,0,1,20,0
customer1127,1,200,0,0,0,200,0,0,0,1,1,0,1,200,0
customer1128,11,600,0,0,0,100,227.2727273,0,0,2,2,0,5.5,600,0
customer1129,2,140,0,0,0,80,200,0,1,2,2,0.5,1,140,0
customer113,61,2118.56,14,2006.37,3,290,737.1246048,18016.15114,22,16,7,0.360655738,3.8125,112.19,1.386294361
customer1130,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1131,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1132,12,410,0,0,0,50,285.6060606,0,5,5,3,0.416666667,2.4,410,0
customer1133,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1134,2,65,0,0,0,50,612.5,0,0,2,2,0,1,65,0
customer1135,1,20,0,0,0,20,0,0,0,1,1,0,1,20,0
customer1136,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1137,12,235,0,0,0,50,129.3560606,0,3,6,4,0.25,2,235,0
customer1138,2,200,0,0,0,100,0,0,0,1,1,0,2,200,0
customer1139,4,4000,0,0,9,1000,0,0,0,1,1,0,4,4000,2.302585093
customer114,222,12147,0,0,0,200,815.335392,0,51,12,3,0.22972973,18.5,12147,0
customer1140,2,50,0,0,0,25,0,0,2,1,1,1,2,50,0
customer1141,2,50,0,0,0,25,0,0,0,1,1,0,2,50,0
customer1142,8,715,3,600,0,100,903.125,10000,6,3,2,0.75,2.666666667,115,0
customer1143,9,240,0,0,0,50,81.25,0,2,3,2,0.222222222,3,240,0
customer1144,2,45,0,0,0,25,12.5,0,0,1,1,0,2,45,0
customer1145,12,1910,0,0,0,1000,72040.33333,0,4,5,4,0.333333333,2.4,1910,0
customer1146,4,1200,1,300,0,300,0,0,0,2,1,0,2,900,0
customer1147,4,190,0,0,0,50,25,0,0,2,2,0,2,190,0
customer1148,1,20,1,20,0,20,0,0,0,1,1,0,1,0,0
customer1149,6,240,0,0,0,50,160,0,1,4,2,0.166666667,1.5,240,0
customer115,277,20616.08,18,10912,18,300,2294.242143,973104.5359,86,18,5,0.310469314,15.38888889,9704.08,2.944438979
customer1150,5,80,0,0,0,20,30,0,1,4,4,0.2,1.25,80,0
customer1151,4,210,1,200,0,10,1358.333333,0,1,2,1,0.25,2,10,0
customer1152,2,250,0,0,0,200,11250,0,0,1,1,0,2,250,0
customer1153,2,1100,0,0,2,600,5000,0,1,2,2,0.5,1,1100,1.098612289
customer1154,2,100,0,0,0,50,0,0,2,1,1,1,2,100,0
customer1155,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1156,8,4800,0,0,4,1000,83571.42857,0,0,3,2,0,2.666666667,4800,1.609437912
customer1157,2,140,0,0,0,100,1800,0,2,1,1,1,2,140,0
customer1158,2,47,1,50,0,0,24.5,0,0,1,1,0,2,-3,0
customer1159,3,90,0,0,0,30,0,0,0,2,2,0,1.5,90,0
customer116,171,4329.51,8,511.35,0,210,307.5536014,5336.152813,26,29,10,0.152046784,5.896551724,3818.16,0
customer1160,1,25,0,0,0,25,0,0,0,1,1,0,1,25,0
customer1161,1,100,0,0,0,100,0,0,1,1,1,1,1,100,0
customer1162,1,17,0,0,0,17,0,0,0,1,1,0,1,17,0
customer1163,10,140,0,0,0,20,26.66666667,0,1,5,4,0.1,2,140,0
customer1164,2,250,0,0,0,150,1250,0,0,1,1,0,2,250,0
customer1165,13,205,0,0,0,50,136.8589744,0,4,5,5,0.307692308,2.6,205,0
customer1166,3,60,0,0,0,20,0,0,2,2,1,0.666666667,1.5,60,0
customer1167,6,301,0,0,0,50,324.1666667,0,5,2,1,0.833333333,3,301,0
customer1168,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1169,1,100,0,0,0,100,0,0,1,1,1,1,1,100,0
customer117,8,1000,0,0,0,200,2142.857143,0,0,2,1,0,4,1000,0
customer1170,8,2270,0,0,0,450,8483.928571,0,1,2,2,0.125,4,2270,0
customer1171,11,185,0,0,0,25,31.36363636,0,0,6,5,0,1.833333333,185,0
customer1172,1,300,0,0,0,300,0,0,0,1,1,0,1,300,0
customer1173,35,1335,0,0,0,50,163.3613445,0,8,7,3,0.228571429,5,1335,0
customer1174,2,100,0,0,0,50,0,0,1,1,2,0.5,2,100,0
customer1175,1,50,1,50,0,50,0,0,0,1,1,0,1,0,0
customer1176,15,800,0,0,0,100,434.5238095,0,5,7,4,0.333333333,2.142857143,800,0
customer1177,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1178,2,150,0,0,0,75,0,0,2,2,1,1,1,150,0
customer1179,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer118,175,2870.36,48,2302.95,0,64.34,130.0270578,1735.269207,2,34,12,0.011428571,5.147058824,567.41,0
customer1180,8,420,0,0,0,100,700,0,5,4,3,0.625,2,420,0
customer1181,1,50,0,0,0,50,0,0,1,1,1,1,1,50,0
customer1182,6,60,0,0,0,10,0,0,0,6,4,0,1,60,0
customer1183,1,100,0,0,0,100,0,0,1,1,1,1,1,100,0
customer1184,19,10000,0,0,8,1000,13157.89474,0,7,6,3,0.368421053,3.166666667,10000,2.197224577
customer1185,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1186,13,10890,2,5058,0,1500,370635.8974,7769682,3,5,2,0.230769231,2.6,5832,0
customer1187,10,6200,2,3200,0,600,137333.3333,1280000,0,7,5,0,1.428571429,3000,0
customer1188,1,10,0,0,0,10,0,0,0,1,1,0,1,10,0
customer1189,1,10,0,0,0,10,0,0,0,1,1,0,1,10,0
customer119,276,24315,0,0,72,300,4389.004941,0,22,44,12,0.079710145,6.272727273,24315,4.290459441
customer1190,1,25,0,0,0,25,0,0,0,1,1,0,1,25,0
customer1191,2,50,1,25,0,25,0,0,1,2,2,0.5,1,25,0
customer1192,1,100,0,0,0,100,0,0,1,1,1,1,1,100,0
customer1193,2,1500,0,0,0,1000,125000,0,0,2,2,0,1,1500,0
customer1194,8,3000,0,0,5,500,10714.28571,0,2,3,2,0.25,2.666666667,3000,1.791759469
customer1195,13,680,0,0,0,100,352.5641026,0,1,6,4,0.076923077,2.166666667,680,0
customer1196,1,10,0,0,0,10,0,0,0,1,1,0,1,10,0
customer1197,3,200,0,0,0,100,833.3333333,0,2,1,2,0.666666667,3,200,0
customer1198,1,50,0,0,0,50,0,0,1,1,1,1,1,50,0
customer1199,2,100,0,0,0,200,0,0,2,1,1,1,2,100,0
customer12,226,10933.33,21,9087.01,0,200,1558.088196,97818.89218,86,32,12,0.380530973,7.0625,1846.32,0
customer120,998,23615,1,500,121,100,674.663193,0,151,32,9,0.151302605,31.1875,23115,4.804021045
customer1200,2,100,0,0,0,50,0,0,0,1,1,0,2,100,0
customer1201,3,750,0,0,0,250,0,0,0,3,1,0,1,750,0
customer1202,1,20,0,0,0,20,0,0,0,1,1,0,1,20,0
customer1203,1,50,1,50,0,50,0,0,0,1,1,0,1,0,0
customer1204,3,1000,0,0,0,400,13333.33333,0,0,1,1,0,3,1000,0
customer1205,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1206,3,60,0,0,0,20,0,0,1,3,1,0.333333333,1,60,0
customer1207,5,154,0,0,0,50,120.7,0,1,1,1,0.2,5,154,0
customer1208,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1209,1,10,0,0,0,10,0,0,0,1,1,0,1,10,0
customer121,35,2150,0,0,0,100,436.1344538,0,29,4,3,0.828571429,8.75,2150,0
customer1210,7,300,0,0,0,50,157.1428571,0,3,6,4,0.428571429,1.166666667,300,0
customer1211,4,200,0,0,0,50,0,0,0,1,1,0,4,200,0
customer1212,8,410,0,0,0,100,1105.357143,0,4,1,1,0.5,8,410,0
customer1213,20,10700,0,0,2,1000,92921.05263,0,6,6,4,0.3,3.333333333,10700,1.098612289
customer1214,5,2250,0,0,0,500,12500,0,1,3,2,0.2,1.666666667,2250,0
customer1215,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1216,11,2500,0,0,0,500,15181.81818,0,8,3,1,0.727272727,3.666666667,2500,0
customer1217,2,150,0,0,0,100,1250,0,1,1,1,0.5,2,150,0
customer1218,24,2410,0,0,9,200,1612.862319,0,2,1,1,0.083333333,24,2410,2.302585093
customer1219,4,1562,0,0,2,600,38761,0,2,1,1,0.5,4,1562,1.098612289
customer122,257,5898,0,0,0,35,17.66540005,0,97,50,12,0.377431907,5.14,5898,0
customer1220,1,15,0,0,0,15,0,0,0,1,1,0,1,15,0
customer1221,2,75,0,0,0,50,312.5,0,0,1,1,0,2,75,0
customer1222,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer1223,3,150,0,0,0,50,0,0,0,3,2,0,1,150,0
customer1224,9,125,0,0,0,20,17.36111111,0,6,3,2,0.666666667,3,125,0
customer1225,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1226,21,6100,0,0,9,500,11904.7619,0,5,4,4,0.238095238,5.25,6100,2.302585093
customer1227,1,100,0,0,0,200,0,0,0,1,1,0,1,100,0
customer1228,6,575,0,0,0,250,1604.166667,0,2,4,2,0.333333333,1.5,575,0
customer1229,6,425,0,0,0,250,7864.166667,0,3,4,2,0.5,1.5,425,0
customer123,77,2324.01,12,3140,0,100,161.9683606,82496.9697,6,19,7,0.077922078,4.052631579,-815.99,0
customer1230,5,250,0,0,0,50,0,0,1,5,2,0.2,1,250,0
customer1231,4,95,0,0,0,50,356.25,0,0,2,2,0,2,95,0
customer1232,2,20,2,20,1,2000,0,0,1,2,2,0.5,1,0,0.693147181
customer1233,3,50,0,0,0,20,33.33333333,0,0,1,1,0,3,50,0
customer1234,14,700,1,100,0,100,865.3846154,0,8,5,3,0.571428571,2.8,600,0
customer1235,1,15,0,0,0,15,0,0,1,1,1,1,1,15,0
customer1236,5,300,0,0,0,100,500,0,0,4,2,0,1.25,300,0
customer1237,5,350,0,0,0,100,1687.5,0,1,3,3,0.2,1.666666667,350,0
customer1238,6,1100,0,0,0,200,1666.666667,0,4,2,1,0.666666667,3,1100,0
customer1239,1,20,0,0,0,20,0,0,0,1,1,0,1,20,0
customer124,391,7292.9,5,1570,12,240,129.3698361,189680,49,27,7,0.125319693,14.48148148,5722.9,2.564949357
customer1240,2,200,0,0,0,100,0,0,0,2,2,0,1,200,0
customer1241,1,150,2,50,0,150,0,0,1,1,1,1,1,100,0
customer1242,1,10,1,10,0,10,0,0,0,1,1,0,1,0,0
customer1243,2,20,0,0,0,10,0,0,0,2,1,0,1,20,0
customer1244,2,65,0,0,0,35,12.5,0,0,1,1,0,2,65,0
customer1245,25,1700,0,0,0,100,600,0,9,7,3,0.36,3.571428571,1700,0
customer1246,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1247,3,499.33,0,0,0,400,40911.64963,0,0,2,1,0,1.5,499.33,0
customer1248,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer1249,4,100,0,0,0,50,0,0,0,1,1,0,4,100,0
customer125,191,10259.77,0,0,8,400,3658.361787,0,13,42,12,0.068062827,4.547619048,10259.77,2.197224577
customer1250,3,410,0,0,0,300,22033.33333,0,3,3,3,1,1,410,0
customer1251,1,250,0,0,0,250,0,0,1,1,1,1,1,250,0
customer1252,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1254,2,50,0,0,0,40,450,0,1,1,1,0.5,2,50,0
customer1255,1,25,0,0,0,25,0,0,1,1,1,1,1,25,0
customer1256,2,110,0,0,0,100,4050,0,1,2,2,0.5,1,110,0
customer1257,7,70,0,0,0,10,0,0,1,7,7,0.142857143,1,70,0
customer1258,13,921,0,0,0,100,422.6410256,0,3,5,4,0.230769231,2.6,921,0
customer1259,1,200,0,0,0,200,0,0,0,1,1,0,1,200,0
customer126,646,16661,47,14457,4,158,150.2800976,38401.24607,314,43,10,0.486068111,15.02325581,2204,1.609437912
customer1260,5,125,0,0,0,25,0,0,0,5,5,0,1,125,0
customer1261,2,150,0,0,0,100,1250,0,0,2,1,0,1,150,0
customer1262,1,50,0,0,0,50,0,0,1,1,1,1,1,50,0
customer1263,1,100,1,100,0,100,0,0,0,1,1,0,1,0,0
customer1264,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1266,8,81.58,0,0,0,11.57,0.307564286,0,0,2,1,0,4,81.58,0
customer1267,2,150,0,0,0,100,1250,0,0,2,1,0,1,150,0
customer1268,1,25,0,0,0,25,0,0,1,1,1,1,1,25,0
customer1269,13,210,0,0,0,30,42.30769231,0,0,1,1,0,13,210,0
customer127,63,2476.44,22,1173.33,0,105,561.7722382,1065.918108,8,31,9,0.126984127,2.032258065,1303.11,0
customer1270,2,70,0,0,0,50,450,0,0,1,1,0,2,70,0
customer1271,1,200,0,0,0,200,0,0,1,1,1,1,1,200,0
customer1272,15,266,0,0,0,26,32.78095238,0,0,4,3,0,3.75,266,0
customer1273,3,90,0,0,0,50,300,0,1,2,1,0.333333333,1.5,90,0
customer1274,2,70,0,0,0,50,450,0,0,2,2,0,1,70,0
customer1275,10,170.3,0,0,0,50,160.0534444,0,6,6,3,0.6,1.666666667,170.3,0
customer1276,15,394,0,0,0,50,234.0666667,0,2,6,3,0.133333333,2.5,394,0
customer1277,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1278,1,100,0,0,0,100,0,0,0,1,1,0,1,100,0
customer1279,5,50,0,0,0,2000,0,0,1,3,1,0.2,1.666666667,50,0
customer128,125,7091,0,0,0,250,1110.860903,0,36,24,8,0.288,5.208333333,7091,0
customer1280,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer1281,2,450,0,0,0,250,1250,0,0,2,2,0,1,450,0
customer1282,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1283,7,107,1,10,0,27,51.57142857,0,2,2,2,0.285714286,3.5,97,0
customer1284,4,650,0,0,0,250,10625,0,0,2,2,0,2,650,0
customer1285,4,310,0,0,0,100,691.6666667,0,0,2,1,0,2,310,0
customer1286,1,20,0,0,0,20,0,0,1,1,1,1,1,20,0
customer1287,1,25,0,0,0,25,0,0,0,1,1,0,1,25,0
customer1288,1,10,0,0,0,10,0,0,1,1,1,1,1,10,0
customer1289,1,50,0,0,0,50,0,0,1,1,1,1,1,50,0
customer129,855,16261,0,0,10,60,54.8848953,0,178,39,10,0.208187135,21.92307692,16261,2.397895273
customer1290,1,250,0,0,0,250,0,0,0,1,1,0,1,250,0
customer1291,1,25,0,0,0,25,0,0,1,1,1,1,1,25,0
customer1292,6,445,0,0,0,200,5544.166667,0,1,6,3,0.166666667,1,445,0
customer1293,1,500,0,0,0,500,0,0,0,1,1,0,1,500,0
customer1294,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1295,3,150,0,0,4,50,0,0,0,1,1,0,3,150,1.609437912
customer1296,6,300,0,0,0,50,0,0,2,4,2,0.333333333,1.5,300,0
customer1297,13,410,0,0,0,50,139.1025641,0,1,4,3,0.076923077,3.25,410,0
customer1298,4,1100,0,0,0,500,29166.66667,0,2,4,4,0.5,1,1100,0
customer1299,2,100,0,0,0,50,0,0,2,1,1,1,2,100,0
customer13,13,300,0,0,0,30,23.07692308,0,2,4,3,0.153846154,3.25,300,0
customer130,119,14326.51,6,6000,0,500,5550.813577,4.00E+05,25,26,9,0.210084034,4.576923077,8326.51,0
customer1300,3,115,1,93.24,0,50,158.3333333,0,0,2,2,0,1.5,21.76,0
customer1301,9,800,0,0,0,100,486.1111111,0,4,2,2,0.444444444,4.5,800,0
customer1302,3,210,0,0,0,100,700,0,0,1,1,0,3,210,0
customer1303,1,50,0,0,0,50,0,0,0,1,1,0,1,50,0
customer1304,1,500,0,0,0,500,0,0,1,1,1,1,1,500,0
customer1305,5,375,0,0,0,100,1250,0,0,3,2,0,1.666666667,375,0
